approach,snapshot_index,local_id,observation_id,decision,from_snapshot,from_local_id,from_observation_id,overlap_size,jaccard,prospective_stability,retrospective_stability,candidate_parent_local_ids,candidate_parent_observation_ids
overlap,4,3,OVL-C0404,inherited,3,2,OVL-C0303,44,0.396396,0.578947,0.556962,2;5;0;11;4,OVL-C0303;OVL-C0306;OVL-C0301;OVL-C0312;OVL-C0305
overlap,4,4,OVL-C0405,new,,,,,,,,9;0;4;2;5;3;8;1,OVL-C0310;OVL-C0301;OVL-C0305;OVL-C0303;OVL-C0306;OVL-C0304;OVL-C0309;OVL-C0302
overlap,4,5,OVL-C0406,inherited,3,1,OVL-C0302,58,0.716049,0.743590,0.950820,1;14,OVL-C0302;OVL-C0315
overlap,4,6,OVL-C0407,inherited,3,11,OVL-C0312,25,0.480769,0.961538,0.490196,11;6;1;8;0,OVL-C0312;OVL-C0307;OVL-C0302;OVL-C0309;OVL-C0301
overlap,4,7,OVL-C0408,inherited,3,7,OVL-C0308,42,0.823529,0.875000,0.933333,7;5;2;0,OVL-C0308;OVL-C0306;OVL-C0303;OVL-C0301
overlap,4,8,OVL-C0409,inherited,3,6,OVL-C0307,25,0.500000,0.520833,0.925926,6;9,OVL-C0307;OVL-C0310
overlap,4,9,OVL-C0410,inherited,3,12,OVL-C0313,24,0.888889,0.960000,0.923077,12,OVL-C0313
overlap,4,10,OVL-C0411,new,,,,,,,,5;6;0;10;1,OVL-C0306;OVL-C0307;OVL-C0301;OVL-C0311;OVL-C0302
overlap,4,11,OVL-C0412,inherited,3,10,OVL-C0311,19,0.558824,0.612903,0.863636,10,OVL-C0311
overlap,4,12,OVL-C0413,new,,,,,,,,8;14;2;5;1,OVL-C0309;OVL-C0315;OVL-C0303;OVL-C0306;OVL-C0302
overlap,4,13,OVL-C0414,new,,,,,,,,9,OVL-C0310
overlap,5,0,OVL-C0501,inherited,4,2,OVL-C0403,63,0.393750,0.724138,0.463235,2;4;3;1;0;12;10;7,OVL-C0403;OVL-C0405;OVL-C0404;OVL-C0402;OVL-C0401;OVL-C0413;OVL-C0411;OVL-C0408
overlap,5,1,OVL-C0502,inherited,4,0,OVL-C0401,80,0.714286,0.800000,0.869565,0;2;1;6,OVL-C0401;OVL-C0403;OVL-C0402;OVL-C0407
overlap,5,2,OVL-C0503,inherited,4,1,OVL-C0402,56,0.513761,0.583333,0.811594,1;0;2,OVL-C0402;OVL-C0401;OVL-C0403
overlap,5,3,OVL-C0504,inherited,4,5,OVL-C0406,56,0.767123,0.918033,0.823529,5;6;11;10,OVL-C0406;OVL-C0407;OVL-C0412;OVL-C0411
overlap,5,4,OVL-C0505,inherited,4,3,OVL-C0404,39,0.402062,0.493671,0.684211,3;2;1,OVL-C0404;OVL-C0403;OVL-C0402
overlap,5,5,OVL-C0506,inherited,4,6,OVL-C0407,27,0.341772,0.529412,0.490909,6;8;3;1,OVL-C0407;OVL-C0409;OVL-C0404;OVL-C0402
overlap,5,6,OVL-C0507,inherited,4,7,OVL-C0408,41,0.732143,0.911111,0.788462,7;1;0,OVL-C0408;OVL-C0402;OVL-C0401
overlap,5,7,OVL-C0508,inherited,4,12,OVL-C0413,19,0.422222,0.904762,0.441860,12;1;0;5;4,OVL-C0413;OVL-C0402;OVL-C0401;OVL-C0406;OVL-C0405
overlap,5,8,OVL-C0509,new,,,,,,,,3;1;7;13;6;4,OVL-C0404;OVL-C0402;OVL-C0408;OVL-C0414;OVL-C0407;OVL-C0405
overlap,5,9,OVL-C0510,new,,,,,,,,6;13;8;10;1,OVL-C0407;OVL-C0414;OVL-C0409;OVL-C0411;OVL-C0402
overlap,5,10,OVL-C0511,new,,,,,,,,4,OVL-C0405
overlap,5,11,OVL-C0512,inherited,4,9,OVL-C0410,26,0.962963,1.000000,0.962963,9;7,OVL-C0410;OVL-C0408
overlap,5,12,OVL-C0513,inherited,4,10,OVL-C0411,19,0.633333,0.760000,0.791667,10;3;0;11,OVL-C0411;OVL-C0404;OVL-C0401;OVL-C0412
overlap,5,13,OVL-C0514,inherited,4,11,OVL-C0412,19,0.863636,0.863636,1.000000,11,OVL-C0412
overlap,6,0,OVL-C0601,new,,,,,,,,1;0;13;2;7;12;3;6;4,OVL-C0502;OVL-C0501;OVL-C0514;OVL-C0503;OVL-C0508;OVL-C0513;OVL-C0504;OVL-C0507;OVL-C0505
overlap,6,1,OVL-C0602,inherited,5,0,OVL-C0501,75,0.460123,0.551471,0.735294,0;2;8;10;7;5;4;1,OVL-C0501;OVL-C0503;OVL-C0509;OVL-C0511;OVL-C0508;OVL-C0506;OVL-C0505;OVL-C0502
overlap,6,2,OVL-C0603,inherited,5,2,OVL-C0503,37,0.324561,0.536232,0.451220,2;7;6;1;4;5,OVL-C0503;OVL-C0508;OVL-C0507;OVL-C0502;OVL-C0505;OVL-C0506
overlap,6,3,OVL-C0604,inherited,5,3,OVL-C0504,64,0.853333,0.941176,0.901408,3;11;2;0,OVL-C0504;OVL-C0512;OVL-C0503;OVL-C0501
