from_snapshot,to_snapshot,source_observation_id,target_observation_id,source_identity_group,target_identity_group,overlap_size,source_overlap_pct,target_overlap_pct,jaccard
9,10,OVL-C0905,OVL-C1005,dead-OVL-C0804,c07,2,0.030769,0.031746,0.015873
9,10,OVL-C0905,OVL-C1007,dead-OVL-C0804,dead-OVL-C1007,2,0.030769,0.040000,0.017699
9,10,OVL-C0905,OVL-C1008,dead-OVL-C0804,c02,21,0.323077,0.488372,0.241379
9,10,OVL-C0905,OVL-C1011,dead-OVL-C0804,dead-OVL-C1011,2,0.030769,0.068966,0.021739
9,10,OVL-C0905,OVL-C1013,dead-OVL-C0804,dead-OVL-C1013,19,0.292308,0.730769,0.263889
9,10,OVL-C0906,OVL-C1001,dead-OVL-C0808,dead-OVL-C1001,23,0.403509,0.277108,0.196581
9,10,OVL-C0906,OVL-C1002,dead-OVL-C0808,dead-OVL-C0002,3,0.052632,0.038462,0.022727
9,10,OVL-C0906,OVL-C1005,dead-OVL-C0808,c07,3,0.052632,0.047619,0.025641
9,10,OVL-C0906,OVL-C1006,dead-OVL-C0808,dead-OVL-C1006,24,0.421053,0.452830,0.279070
9,10,OVL-C0906,OVL-C1011,dead-OVL-C0808,dead-OVL-C1011,2,0.035088,0.068966,0.023810
9,10,OVL-C0907,OVL-C1005,c07,c07,53,0.963636,0.841270,0.815385
9,10,OVL-C0907,OVL-C1007,c07,dead-OVL-C1007,1,0.018182,0.020000,0.009615
9,10,OVL-C0908,OVL-C1001,dead-OVL-C0510,dead-OVL-C1001,1,0.023810,0.012048,0.008065
9,10,OVL-C0908,OVL-C1002,dead-OVL-C0510,dead-OVL-C0002,9,0.214286,0.115385,0.081081
9,10,OVL-C0908,OVL-C1004,dead-OVL-C0510,dead-OVL-C0706,1,0.023810,0.015625,0.009524
9,10,OVL-C0908,OVL-C1005,dead-OVL-C0510,c07,1,0.023810,0.015873,0.009615
9,10,OVL-C0908,OVL-C1010,dead-OVL-C0510,dead-OVL-C0510,26,0.619048,0.764706,0.520000
9,10,OVL-C0908,OVL-C1014,dead-OVL-C0510,dead-OVL-C0712,2,0.047619,0.080000,0.030769
9,10,OVL-C0908,OVL-C1016,dead-OVL-C0510,dead-OVL-C1016,2,0.047619,0.666667,0.046512
9,10,OVL-C0909,OVL-C1001,c08,dead-OVL-C1001,1,0.024390,0.012048,0.008130
