approach,event_id,event_type,from_snapshot,to_snapshot,source_local_ids,source_observation_ids,target_local_ids,target_observation_ids,source_count,target_count,overlap_sizes,jaccard_scores,prospective_stabilities,retrospective_stabilities,relation_qualifiers
overlap,OVL-E0093,continuation,5,6,5,OVL-C0506,5,OVL-C0606,1,1,52,0.896552,0.945455,0.945455,both
overlap,OVL-E0094,merge,5,6,12;8,OVL-C0513;OVL-C0509,6,OVL-C0607,2,1,21;21,0.388889;0.313433,0.875000;0.567568,0.411765;0.411765,both;both
overlap,OVL-E0095,continuation,5,6,11,OVL-C0512,7,OVL-C0608,1,1,25,0.500000,0.925926,0.520833,both
overlap,OVL-E0096,continuation,5,6,6,OVL-C0507,8,OVL-C0609,1,1,39,0.639344,0.750000,0.812500,both
overlap,OVL-E0097,continuation,5,6,10,OVL-C0511,9,OVL-C0610,1,1,23,0.793103,0.851852,0.920000,both
overlap,OVL-E0098,split,6,7,0,OVL-C0601,5;0;11,OVL-C0706;OVL-C0701;OVL-C0712,1,3,54;62;16,0.323353;0.306931;0.101911,0.348387;0.400000;0.103226,0.818182;0.568807;0.888889,retrospective;both;retrospective
overlap,OVL-E0099,split,6,7,6,OVL-C0607,10;1,OVL-C0711;OVL-C0702,1,2,18;22,0.310345;0.173228,0.352941;0.431373,0.720000;0.224490,retrospective;prospective
overlap,OVL-E0100,merge,6,7,4;6,OVL-C0605;OVL-C0607,1,OVL-C0702,2,1,46;22,0.425926;0.173228,0.821429;0.431373,0.469388;0.224490,both;prospective
overlap,OVL-E0101,merge,6,7,1;9,OVL-C0602;OVL-C0610,2,OVL-C0703,2,1,54;24,0.400000;0.272727,0.529412;0.960000,0.620690;0.275862,both;prospective
overlap,OVL-E0102,merge,6,7,3;11,OVL-C0604;OVL-C0612,3,OVL-C0704,2,1,66;7,0.750000;0.080460,0.929577;0.636364,0.795181;0.084337,both;prospective
overlap,OVL-E0103,merge,6,7,2;12,OVL-C0603;OVL-C0613,4,OVL-C0705,2,1,42;4,0.362069;0.052632,0.512195;1.000000,0.552632;0.052632,both;prospective
overlap,OVL-E0104,continuation,6,7,5,OVL-C0606,6,OVL-C0707,1,1,50,0.862069,0.909091,0.943396,both
overlap,OVL-E0105,continuation,6,7,7,OVL-C0608,7,OVL-C0708,1,1,43,0.796296,0.895833,0.877551,both
overlap,OVL-E0106,continuation,6,7,8,OVL-C0609,8,OVL-C0709,1,1,36,0.610169,0.750000,0.765957,both
overlap,OVL-E0107,continuation,6,7,10,OVL-C0611,9,OVL-C0710,1,1,20,0.689655,0.833333,0.800000,both
