approach,snapshot_index,local_id,observation_id,decision,from_snapshot,from_local_id,from_observation_id,overlap_size,jaccard,prospective_stability,retrospective_stability,candidate_parent_local_ids,candidate_parent_observation_ids
cumulative,6,11,CUM-C0612,new,,,,,,,,3,CUM-C0504
cumulative,6,12,CUM-C0613,inherited,5,11,CUM-C0512,7,0.875000,1.000000,0.875000,11;3,CUM-C0512;CUM-C0504
cumulative,7,0,CUM-C0701,inherited,6,0,CUM-C0601,171,0.846535,0.966102,0.872449,0;4;5;3;1,CUM-C0601;CUM-C0605;CUM-C0606;CUM-C0604;CUM-C0602
cumulative,7,1,CUM-C0702,inherited,6,1,CUM-C0602,102,0.836066,0.980769,0.850000,1;3;10;7;4,CUM-C0602;CUM-C0604;CUM-C0611;CUM-C0608;CUM-C0605
cumulative,7,2,CUM-C0703,inherited,6,2,CUM-C0603,103,0.927928,1.000000,0.927928,2;7;0,CUM-C0603;CUM-C0608;CUM-C0601
cumulative,7,3,CUM-C0704,inherited,6,3,CUM-C0604,76,0.737864,0.904762,0.800000,3;4;5,CUM-C0604;CUM-C0605;CUM-C0606
cumulative,7,4,CUM-C0705,inherited,6,6,CUM-C0607,64,0.955224,1.000000,0.955224,6;8,CUM-C0607;CUM-C0609
cumulative,7,5,CUM-C0706,inherited,6,5,CUM-C0606,59,0.867647,0.921875,0.936508,5;7;1,CUM-C0606;CUM-C0608;CUM-C0602
cumulative,7,6,CUM-C0707,inherited,6,7,CUM-C0608,58,0.906250,0.935484,0.966667,7;4,CUM-C0608;CUM-C0605
cumulative,7,7,CUM-C0708,inherited,6,4,CUM-C0605,51,0.614458,0.653846,0.910714,4;0,CUM-C0605;CUM-C0601
cumulative,7,8,CUM-C0709,inherited,6,8,CUM-C0609,55,0.982143,0.982143,1.000000,8,CUM-C0609
cumulative,7,9,CUM-C0710,inherited,6,9,CUM-C0610,31,0.968750,1.000000,0.968750,9,CUM-C0610
cumulative,7,10,CUM-C0711,inherited,6,11,CUM-C0612,24,0.857143,1.000000,0.857143,11,CUM-C0612
cumulative,7,11,CUM-C0712,inherited,6,10,CUM-C0611,27,0.964286,0.964286,1.000000,10,CUM-C0611
cumulative,7,12,CUM-C0713,inherited,6,12,CUM-C0613,8,0.800000,1.000000,0.800000,12;7,CUM-C0613;CUM-C0608
cumulative,8,0,CUM-C0801,inherited,7,0,CUM-C0701,165,0.785714,0.841837,0.921788,0;7;2,CUM-C0701;CUM-C0708;CUM-C0703
cumulative,8,1,CUM-C0802,inherited,7,1,CUM-C0702,116,0.899225,0.966667,0.928000,1;5;3,CUM-C0702;CUM-C0706;CUM-C0704
cumulative,8,2,CUM-C0803,inherited,7,2,CUM-C0703,107,0.914530,0.963964,0.946903,2;1;0,CUM-C0703;CUM-C0702;CUM-C0701
cumulative,8,3,CUM-C0804,inherited,7,3,CUM-C0704,79,0.782178,0.831579,0.929412,3;0,CUM-C0704;CUM-C0701
cumulative,8,4,CUM-C0805,inherited,7,7,CUM-C0708,51,0.662338,0.910714,0.708333,7;3;6,CUM-C0708;CUM-C0704;CUM-C0707
cumulative,8,5,CUM-C0806,inherited,7,4,CUM-C0705,67,0.943662,1.000000,0.943662,4,CUM-C0705
cumulative,8,6,CUM-C0807,inherited,7,5,CUM-C0706,61,0.897059,0.968254,0.924242,5;0,CUM-C0706;CUM-C0701
cumulative,8,7,CUM-C0808,inherited,7,6,CUM-C0707,59,0.951613,0.983333,0.967213,6;1,CUM-C0707;CUM-C0702
cumulative,8,8,CUM-C0809,inherited,7,9,CUM-C0710,32,0.551724,1.000000,0.551724,9;0;2,CUM-C0710;CUM-C0701;CUM-C0703
cumulative,8,9,CUM-C0810,inherited,7,8,CUM-C0709,55,0.982143,1.000000,0.982143,8,CUM-C0709
cumulative,8,10,CUM-C0811,inherited,7,11,CUM-C0712,27,0.870968,1.000000,0.870968,11;1;2,CUM-C0712;CUM-C0702;CUM-C0703
cumulative,8,11,CUM-C0812,inherited,7,10,CUM-C0711,28,0.933333,1.000000,0.933333,10,CUM-C0711
cumulative,8,12,CUM-C0813,inherited,7,12,CUM-C0713,10,1.000000,1.000000,1.000000,12,CUM-C0713
cumulative,9,0,CUM-C0901,inherited,8,0,CUM-C0801,144,0.612766,0.804469,0.720000,0;6;1;9,CUM-C0801;CUM-C0807;CUM-C0802;CUM-C0810
cumulative,9,1,CUM-C0902,inherited,8,2,CUM-C0803,112,0.888889,0.991150,0.896000,2;0;4,CUM-C0803;CUM-C0801;CUM-C0805
cumulative,9,2,CUM-C0903,inherited,8,1,CUM-C0802,112,0.875000,0.896000,0.973913,1;5,CUM-C0802;CUM-C0806
cumulative,9,3,CUM-C0904,inherited,8,4,CUM-C0805,70,0.823529,0.972222,0.843373,4;3;7;1,CUM-C0805;CUM-C0804;CUM-C0808;CUM-C0802
cumulative,9,4,CUM-C0905,inherited,8,3,CUM-C0804,78,0.886364,0.917647,0.962963,3;1,CUM-C0804;CUM-C0802
cumulative,9,5,CUM-C0906,inherited,8,5,CUM-C0806,70,0.909091,0.985915,0.921053,5;9;2;0,CUM-C0806;CUM-C0810;CUM-C0803;CUM-C0801
cumulative,9,6,CUM-C0907,inherited,8,7,CUM-C0808,52,0.732394,0.852459,0.838710,7;10;1;0,CUM-C0808;CUM-C0811;CUM-C0802;CUM-C0801
cumulative,9,7,CUM-C0908,inherited,8,9,CUM-C0810,54,0.870968,0.964286,0.900000,9;7;4,CUM-C0810;CUM-C0808;CUM-C0805
cumulative,9,8,CUM-C0909,inherited,8,8,CUM-C0809,33,0.568966,0.568966,1.000000,8,CUM-C0809
cumulative,9,9,CUM-C0910,new,,,,,,,,0,CUM-C0801
cumulative,9,10,CUM-C0911,new,,,,,,,,8;6,CUM-C0809;CUM-C0807
cumulative,9,11,CUM-C0912,inherited,8,11,CUM-C0812,30,1.000000,1.000000,1.000000,11,CUM-C0812
cumulative,9,12,CUM-C0913,inherited,8,10,CUM-C0811,26,0.787879,0.838710,0.928571,10,CUM-C0811
cumulative,9,13,CUM-C0914,new,,,,,,,,6,CUM-C0807
cumulative,9,14,CUM-C0915,inherited,8,12,CUM-C0813,10,1.000000,1.000000,1.000000,12,CUM-C0813
cumulative,10,0,CUM-C1001,inherited,9,0,CUM-C0901,194,0.795082,0.970000,0.815126,0;9;10;1;6;5,CUM-C0901;CUM-C0910;CUM-C0911;CUM-C0902;CUM-C0907;CUM-C0906
cumulative,10,1,CUM-C1002,inherited,9,1,CUM-C0902,119,0.929688,0.952000,0.975410,1,CUM-C0902
cumulative,10,2,CUM-C1003,inherited,9,2,CUM-C0903,115,0.974576,1.000000,0.974576,2;6,CUM-C0903;CUM-C0907
cumulative,10,3,CUM-C1004,inherited,9,4,CUM-C0905,81,0.952941,1.000000,0.952941,4;0,CUM-C0905;CUM-C0901
cumulative,10,4,CUM-C1005,inherited,9,3,CUM-C0904,79,0.940476,0.951807,0.987500,3;7,CUM-C0904;CUM-C0908
cumulative,10,5,CUM-C1006,inherited,9,5,CUM-C0906,75,0.974026,0.986842,0.986842,5;1,CUM-C0906;CUM-C0902
cumulative,10,6,CUM-C1007,inherited,9,6,CUM-C0907,60,0.845070,0.967742,0.869565,6;7;3,CUM-C0907;CUM-C0908;CUM-C0904
cumulative,10,7,CUM-C1008,inherited,9,7,CUM-C0908,54,0.870968,0.900000,0.964286,7;0,CUM-C0908;CUM-C0901
cumulative,10,8,CUM-C1009,inherited,9,8,CUM-C0909,33,1.000000,1.000000,1.000000,8,CUM-C0909
cumulative,10,9,CUM-C1010,inherited,9,11,CUM-C0912,30,1.000000,1.000000,1.000000,11,CUM-C0912
cumulative,10,10,CUM-C1011,inherited,9,12,CUM-C0913,28,1.000000,1.000000,1.000000,12,CUM-C0913
cumulative,10,11,CUM-C1012,inherited,9,10,CUM-C0911,24,0.800000,0.800000,1.000000,10,CUM-C0911
cumulative,10,12,CUM-C1013,inherited,9,13,CUM-C0914,14,1.000000,1.000000,1.000000,13,CUM-C0914
cumulative,10,13,CUM-C1014,inherited,9,14,CUM-C0915,10,1.000000,1.000000,1.000000,14,CUM-C0915
cumulative,10,14,CUM-C1015,new,,,,,,,,9;0,CUM-C0910;CUM-C0901
